"Pi" "fairResponse1" "fairResponse2" "fairResponse3" "fairResponse4" "fairResponse5" "fairResponse6" "fairResponse7" "fairResponse8" "fairResponse9" "fairResponse10"
0 0.4189123345 0.418885463 0.419274393 0.41919036 0.41898582 0.418898919 0.4188867145 0.418946171 0.4185575125 0.4185793285
0.0344827586206897 0.41889853 0.41888597 0.41927837 0.419184465 0.418988615 0.41889946 0.41888411 0.41892892 0.41857026 0.418563145
0.0689655172413793 0.41888472 0.41888648 0.419282345 0.41917857 0.418991415 0.4189 0.41888151 0.418911675 0.41858301 0.41854696
0.103448275862069 0.418870915 0.41888699 0.41928632 0.41917267 0.41899421 0.41890054 0.418878905 0.418894425 0.41859576 0.41853077
0.137931034482759 0.41885711 0.4188875 0.419290295 0.419166775 0.418997005 0.41890108 0.418876305 0.418877175 0.418608505 0.418514585
0.172413793103448 0.418843305 0.418888005 0.41929427 0.41916088 0.418999805 0.41890162 0.4188737 0.418859925 0.418621255 0.4184984
0.206896551724138 0.418829495 0.418888515 0.419298245 0.419154985 0.4190026 0.41890216 0.4188711 0.41884268 0.418634005 0.418482215
0.241379310344828 0.41881569 0.418889025 0.41930222 0.419149085 0.419005395 0.4189027 0.418868495 0.41882543 0.418646755 0.41846603
0.275862068965517 0.418801885 0.418889535 0.419306195 0.41914319 0.419008195 0.418903245 0.418865895 0.41880818 0.4186595 0.418449845
0.310344827586207 0.41878808 0.41889004 0.41931017 0.419137295 0.41901099 0.418903785 0.41886329 0.41879093 0.41867225 0.41843366
0.344827586206897 0.41877427 0.41889055 0.419314145 0.4191314 0.419013785 0.418904325 0.41886069 0.41877368 0.418685 0.418417475
0.379310344827586 0.418760465 0.41889106 0.41931812 0.4191255 0.419016585 0.418904865 0.418858085 0.418756435 0.41869775 0.41840129
0.413793103448276 0.41874666 0.41889157 0.419322095 0.419119605 0.41901938 0.418905405 0.418855485 0.418739185 0.418710495 0.418385105
0.448275862068966 0.418732855 0.418892075 0.41932607 0.41911371 0.419022175 0.418905945 0.41885288 0.418721935 0.418723245 0.418368915
0.482758620689655 0.418719045 0.418892585 0.419330045 0.419107815 0.419024975 0.418906485 0.41885028 0.418704685 0.418735995 0.41835273
0.517241379310345 0.41870524 0.418893095 0.41933402 0.419101915 0.41902777 0.418907025 0.418847675 0.41868744 0.418748745 0.418336545
0.551724137931034 0.418691435 0.418893605 0.419337995 0.41909602 0.419030565 0.418907565 0.418845075 0.41867019 0.41876149 0.41832036
0.586206896551724 0.418677625 0.41889411 0.41934197 0.419090125 0.419033365 0.418908105 0.41884247 0.41865294 0.41877424 0.418304175
0.620689655172414 0.41866382 0.41889462 0.419345945 0.41908423 0.41903616 0.418908645 0.41883987 0.41863569 0.41878699 0.41828799
0.655172413793103 0.418650015 0.41889513 0.41934992 0.41907833 0.419038955 0.41890919 0.418837265 0.41861844 0.418799735 0.418271805
0.689655172413793 0.41863621 0.41889564 0.419353895 0.419072435 0.419041755 0.41890973 0.418834665 0.418601195 0.418812485 0.41825562
0.724137931034483 0.4186224 0.418896145 0.41935787 0.41906654 0.41904455 0.41891027 0.41883206 0.418583945 0.418825235 0.418239435
0.758620689655172 0.418608595 0.418896655 0.419361845 0.419060645 0.419047345 0.41891081 0.41882946 0.418566695 0.418837985 0.41822325
0.793103448275862 0.41859479 0.418897165 0.419365825 0.419054745 0.419050145 0.41891135 0.418826855 0.418549445 0.41885073 0.41820706
0.827586206896552 0.418580985 0.41889767 0.4193698 0.41904885 0.41905294 0.41891189 0.418824255 0.418532195 0.41886348 0.418190875
0.862068965517241 0.418567175 0.41889818 0.419373775 0.419042955 0.419055735 0.41891243 0.41882165 0.41851495 0.41887623 0.41817469
0.896551724137931 0.41855337 0.41889869 0.41937775 0.41903706 0.419058535 0.41891297 0.41881905 0.4184977 0.41888898 0.418158505
0.931034482758621 0.418539565 0.4188992 0.419381725 0.41903116 0.41906133 0.41891351 0.418816445 0.41848045 0.418901725 0.41814232
0.96551724137931 0.41852576 0.418899705 0.4193857 0.419025265 0.419064125 0.41891405 0.418813845 0.4184632 0.418914475 0.418126135
1 0.41851195 0.418900215 0.419389675 0.41901937 0.419066925 0.41891459 0.41881124 0.418445955 0.418927225 0.41810995
